hr,hr1,max,min,mean
0,0,283,2,53.898072
1,1,168,1,33.375691
2,2,132,1,22.86993
3,3,79,1,11.727403
4,4,28,1,6.352941
5,5,66,1,19.889819
6,6,213,1,76.044138
7,7,596,1,212.064649
8,8,839,5,359.011004
9,9,426,14,219.309491
10,10,539,8,173.668501
11,11,663,10,208.143054
12,12,776,3,253.315934
13,13,760,11,253.66118
14,14,750,12,240.949246
15,15,750,7,251.233196
16,16,783,11,311.983562
17,17,976,15,461.452055
18,18,977,23,425.510989
19,19,743,11,311.523352
20,20,567,11,226.03022
21,21,584,6,172.31456
22,22,502,9,131.335165
23,23,256,2,87.831044
